,Date,Category,Type,Amount,Month,Weekday
0,2024-01-01,Bills,Income,14480,January,Monday
1,2024-01-02,Rent,Expense,1036,January,Tuesday
2,2024-01-03,Travel,Expense,383,January,Wednesday
3,2024-01-04,Entertainment,Expense,3741,January,Thursday
4,2024-01-05,Entertainment,Income,7055,January,Friday
5,2024-01-06,Shopping,Income,13785,January,Saturday
6,2024-01-07,Rent,Expense,1660,January,Sunday
7,2024-01-08,Salary,Expense,2298,January,Monday
8,2024-01-09,Entertainment,Income,5215,January,Tuesday
9,2024-01-10,Food,Expense,3084,January,Wednesday
10,2024-01-11,Rent,Income,3420,January,Thursday
11,2024-01-12,Shopping,Income,13890,January,Friday
12,2024-01-13,Salary,Income,20680,January,Saturday
13,2024-01-14,Bills,Expense,1761,January,Sunday
14,2024-01-15,Rent,Income,23795,January,Monday
15,2024-01-16,Travel,Income,18660,January,Tuesday
16,2024-01-17,Salary,Income,2035,January,Wednesday
17,2024-01-18,Salary,Expense,4871,January,Thursday
18,2024-01-19,Bills,Expense,4143,January,Friday
19,2024-01-20,Salary,Income,21275,January,Saturday
20,2024-01-21,Shopping,Income,8485,January,Sunday
21,2024-01-22,Food,Income,13890,January,Monday
22,2024-01-23,Entertainment,Income,17175,January,Tuesday
23,2024-01-24,Travel,Expense,1634,January,Wednesday
24,2024-01-25,Bills,Income,20875,January,Thursday
25,2024-01-26,Salary,Expense,2565,January,Friday
26,2024-01-27,Bills,Expense,3958,January,Saturday
27,2024-01-28,Bills,Expense,2072,January,Sunday
28,2024-01-29,Salary,Expense,4580,January,Monday
29,2024-01-30,Food,Expense,2484,January,Tuesday
30,2024-01-31,Travel,Income,23545,January,Wednesday
31,2024-02-01,Travel,Expense,3837,February,Thursday
32,2024-02-02,Rent,Income,20040,February,Friday
33,2024-02-03,Salary,Income,22065,February,Saturday
34,2024-02-04,Bills,Expense,495,February,Sunday
35,2024-02-05,Food,Expense,480,February,Monday
36,2024-02-06,Salary,Income,17000,February,Tuesday
37,2024-02-07,Entertainment,Income,20570,February,Wednesday
38,2024-02-08,Salary,Income,14390,February,Thursday
39,2024-02-09,Bills,Income,22170,February,Friday
40,2024-02-10,Travel,Expense,900,February,Saturday
41,2024-02-11,Bills,Income,12895,February,Sunday
42,2024-02-12,Salary,Income,24935,February,Monday
43,2024-02-13,Bills,Income,16390,February,Tuesday
44,2024-02-14,Travel,Income,17610,February,Wednesday
45,2024-02-15,Bills,Income,6225,February,Thursday
46,2024-02-16,Salary,Expense,2242,February,Friday
47,2024-02-17,Travel,Expense,1288,February,Saturday
48,2024-02-18,Bills,Expense,745,February,Sunday
49,2024-02-19,Rent,Income,23225,February,Monday
50,2024-02-20,Entertainment,Expense,4300,February,Tuesday
51,2024-02-21,Salary,Expense,4800,February,Wednesday
